model,task,result,n_samples_actual,free_gpu_memory_fraction,max_batch_size,max_tokens,temperature,return_context_logits,seed,num_samples,few_shots,scores_filter,print_outputs,engine_disk_mib,exec_context_mib,kv_cache_alloc_mib,runtime_buffers_mib,decoder_mib
W16A16_LOGITS,humaneval,54.88,164,0.4,8,512,0.0,False,0,,0,,0,14607.6,954.01,26030.08,5.23,19.81
W16A16_LOGITS,winogrande,76.64,2534,0.4,1,1,0.0,True,0,,5,"acc,none",0,14607.6,954.01,26040.32,0.67,2.48
W16A16_LOGITS,gpqa_main_zeroshot,31.7,448,0.4,1,1,0.0,True,0,,0,"acc,none",0,14607.6,954.01,26040.32,0.67,2.48
W16A16_LOGITS,mbpp,63.4,500,0.4,8,512,0.0,False,0,,3,,0,14607.6,954.01,26030.08,5.23,19.81
W16A16_LOGITS,gsm8k,83.09,1319,0.4,8,512,0.0,False,0,,5,"exact_match,flexible-extract",0,14607.6,954.01,26030.08,5.23,19.81
W8A16_LOGITS,humaneval,56.1,164,0.4,8,512,0.0,False,0,,0,,0,8378.2,2352.01,11704.32,5.23,19.81
W16A16_LOGITS,wikitext,9.5,1,0.4,1,1,0.0,True,0,,0,"word_perplexity,none",0,14607.6,954.01,26040.32,0.67,2.48
W8A16_LOGITS,winogrande,76.24,2534,0.4,1,1,0.0,True,0,,5,"acc,none",0,8378.2,2352.01,11714.56,0.67,2.48
W8A16_LOGITS,gpqa_main_zeroshot,30.8,448,0.4,1,1,0.0,True,0,,0,"acc,none",0,8378.2,2352.01,27996.16,0.67,2.48
W8A16_LOGITS,mbpp,63.8,500,0.4,8,512,0.0,False,0,,3,,0,8378.2,2352.01,27985.92,5.23,19.81
W8A8_SQ_LOGITS,humaneval,50.61,164,0.4,8,512,0.0,False,0,,0,,0,8381.8,2310.52,27996.16,5.23,19.81
W8A16_LOGITS,wikitext,9.51,1,0.4,1,1,0.0,True,0,,0,"word_perplexity,none",0,8378.2,2352.01,27996.16,0.67,2.48
W8A16_LOGITS,gsm8k,83.47,1319,0.4,8,512,0.0,False,0,,5,"exact_match,flexible-extract",0,8378.2,2352.01,27985.92,5.23,19.81
W8A8_SQ_LOGITS,winogrande,74.98,2534,0.4,1,1,0.0,True,0,,5,"acc,none",0,8381.8,2310.52,27996.16,0.67,2.48
W8A8_SQ_LOGITS,gpqa_main_zeroshot,31.25,448,0.4,1,1,0.0,True,0,,0,"acc,none",0,8381.8,2310.52,27996.16,0.67,2.48
W8A8_SQ_LOGITS,mbpp,62.8,500,0.4,8,512,0.0,False,0,,3,,0,8381.8,2310.52,27996.16,5.23,19.81
W8A8_SQ_LOGITS,gsm8k,82.71,1319,0.4,8,512,0.0,False,0,,5,"exact_match,flexible-extract",0,8381.8,2310.52,27996.16,5.23,19.81
W16A16_LOGITS,hellaswag,79.81,10042,0.4,1,1,0.0,True,0,,5,"acc_norm,none",0,14607.6,954.01,26040.32,0.67,2.48
W8A8_SQ_LOGITS,wikitext,9.71,1,0.4,1,1,0.0,True,0,,0,"word_perplexity,none",0,8381.8,2310.52,27996.16,0.67,2.48
W4A16_LOGITS,humaneval,42.68,164,0.4,8,512,0.0,False,0,,0,,0,5266.6,2352.01,29235.2,5.23,19.81
W4A16_LOGITS,winogrande,68.03,2534,0.4,1,1,0.0,True,0,,5,"acc,none",0,5266.6,2352.01,29245.44,0.67,2.48
W4A16_LOGITS,gpqa_main_zeroshot,30.58,448,0.4,1,1,0.0,True,0,,0,"acc,none",0,5266.6,2352.01,29245.44,0.67,2.48
W4A16_LOGITS,mbpp,39.0,500,0.4,8,512,0.0,False,0,,3,,0,5266.6,2352.01,29235.2,5.23,19.81
