model,task,result,n_samples_actual,free_gpu_memory_fraction,max_batch_size,max_tokens,temperature,return_context_logits,seed,num_samples,few_shots,scores_filter,print_outputs,engine_disk_mib,exec_context_mib,kv_cache_alloc_mib,runtime_buffers_mib,decoder_mib
W16A16_LOGITS,humaneval,51.83,164,0.4,8,512,0.0,False,0,,0,,0,28268.3,2214.01,20090.88,5.23,19.81
W16A16_LOGITS,winogrande,80.43,2534,0.4,1,1,0.0,True,0,,5,"acc,none",0,28268.3,2214.01,20090.88,0.67,2.48
W16A16_LOGITS,gpqa_main_zeroshot,37.05,448,0.4,1,1,0.0,True,0,,0,"acc,none",0,28268.3,2214.01,20090.88,0.67,2.48
W16A16_LOGITS,humaneval,51.83,164,0.4,8,512,0.0,False,0,,0,,0,28268.3,2214.01,20090.88,5.23,19.81
W16A16_LOGITS,mbpp,68.2,500,0.4,8,512,0.0,False,0,,3,,0,28268.3,2214.01,3799.04,5.23,19.81
W16A16_LOGITS,winogrande,80.43,2534,0.4,1,1,0.0,True,0,,5,"acc,none",0,28268.3,2214.01,3809.28,0.67,2.48
W16A16_LOGITS,gpqa_main_zeroshot,37.05,448,0.4,1,1,0.0,True,0,,0,"acc,none",0,28268.3,2214.01,3809.28,0.67,2.48
W16A16_LOGITS,gsm8k,87.72,1319,0.4,8,512,0.0,False,0,,5,"exact_match,flexible-extract",0,28268.3,2214.01,3799.04,5.23,19.81
W16A16_LOGITS,wikitext,6.87,1,0.4,1,1,0.0,True,0,,0,"word_perplexity,none",0,28268.3,2214.01,3809.28,0.67,2.48
W8A16_LOGITS,humaneval,53.05,164,0.4,8,512,0.0,False,0,,0,,0,15654.5,606.01,9461.76,5.23,19.81
W8A16_LOGITS,mbpp,66.8,500,0.4,8,512,0.0,False,0,,3,,0,15654.5,606.01,9461.76,5.23,19.81
W8A16_LOGITS,winogrande,80.43,2534,0.4,1,1,0.0,True,0,,5,"acc,none",0,15654.5,606.01,25753.6,0.67,2.48
W8A16_LOGITS,gpqa_main_zeroshot,37.05,448,0.4,1,1,0.0,True,0,,0,"acc,none",0,15654.5,606.01,9472.0,0.67,2.48
W8A16_LOGITS,gsm8k,87.79,1319,0.4,8,512,0.0,False,0,,5,"exact_match,flexible-extract",0,15654.5,606.01,25743.36,5.23,19.81
W8A16_LOGITS,wikitext,6.88,1,0.4,1,1,0.0,True,0,,0,"word_perplexity,none",0,15654.5,606.01,25753.6,0.67,2.48
